date	B2C	B2B	Indicateurs	appelB2C	appelB2B	appelcasino	appelcdiscount	appellignedirecte	appeltunis	appelmaroc	id	appela	mois
21	0,84	0,84	Qualité de Service	270	201	122	86	62	62	62	Appels traités	21/01/2020	janvier
22	0,91	0,91	Qualité de Service	273	200	117	110	46	46	46	Appels traités	22/01/2020	janvier
23	0,88	0,88	Qualité de Service	290	199	130	94	66	66	66	Appels traités	23/01/2020	janvier
24	0,75	0,75	Qualité de Service	233	198	102	87	44	44	44	Appels traités	24/01/2020	janvier
25	0,53	0,53	Qualité de Service	297	197	125	108	64	64	64	Appels traités	25/01/2020	janvier
26	0,64	0,64	Qualité de Service	284	196	133	94	57	57	57	Appels traités	26/01/2020	janvier
27	0,51	0,51	Qualité de Service	255	195	107	82	66	66	66	Appels traités	27/01/2020	janvier
28	0,87	0,87	Qualité de Service	256	194	106	88	62	62	62	Appels traités	28/01/2020	janvier
29	0,87	0,87	Qualité de Service	274	193	102	105	67	67	67	Appels traités	29/01/2020	janvier
30	0,8	0,8	Qualité de Service	260	192	105	85	70	70	70	Appels traités	30/01/2020	janvier
31	0,77	0,77	Qualité de Service	281	191	133	80	68	68	68	Appels traités	31/01/2020	janvier
32	0,57	0,57	Qualité de Service	277	190	116	110	51	51	51	Appels traités	01/02/2020	février
33	0,75	0,75	Qualité de Service	224	189	90	82	52	52	52	Appels traités	02/02/2020	février
34	0,86	0,86	Qualité de Service	266	188	102	95	69	69	69	Appels traités	03/02/2020	février
35	0,83	0,83	Qualité de Service	225	187	96	88	41	41	41	Appels traités	04/02/2020	février
36	0,54	0,54	Qualité de Service	268	186	135	84	49	49	49	Appels traités	05/02/2020	février
37	0,7	0,7	Qualité de Service	269	185	129	85	55	55	55	Appels traités	06/02/2020	février
38	0,7	0,7	Qualité de Service	283	184	131	85	67	67	67	Appels traités	07/02/2020	février
39	0,71	0,71	Qualité de Service	262	183	97	101	64	64	64	Appels traités	08/02/2020	février
40	0,83	0,83	Qualité de Service	248	182	117	83	48	48	48	Appels traités	09/02/2020	février
41	0,65	0,65	Qualité de Service	239	181	101	86	52	52	52	Appels traités	10/02/2020	février
42	0,94	0,94	Qualité de Service	276	180	134	91	51	51	51	Appels traités	11/02/2020	février
43	0,84	0,84	Qualité de Service	232	179	94	96	42	42	42	Appels traités	12/02/2020	février
44	0,81	0,81	Qualité de Service	275	178	104	101	70	70	70	Appels traités	13/02/2020	février
45	0,91	0,91	Qualité de Service	245	177	101	81	63	63	63	Appels traités	14/02/2020	février
46	0,82	0,82	Qualité de Service	277	176	109	101	67	67	67	Appels traités	15/02/2020	février
47	0,65	0,65	Qualité de Service	251	175	122	84	45	45	45	Appels traités	16/02/2020	février
48	0,93	0,93	Qualité de Service	267	174	125	85	57	57	57	Appels traités	17/02/2020	février
49	0,75	0,75	Qualité de Service	268	173	127	88	53	53	53	Appels traités	18/02/2020	février
50	0,67	0,67	Qualité de Service	271	172	118	102	51	51	51	Appels traités	19/02/2020	février
51	0,55	0,55	Qualité de Service	251	171	100	84	67	67	67	Appels traités	20/02/2020	février
52	0,98	0,98	Qualité de Service	253	170	95	88	70	70	70	Appels traités	21/02/2020	février
53	0,68	0,68	Qualité de Service	282	169	129	93	60	60	60	Appels traités	22/02/2020	février
54	0,8	0,8	Qualité de Service	268	168	105	100	63	63	63	Appels traités	23/02/2020	février
55	0,68	0,68	Qualité de Service	263	167	135	88	40	40	40	Appels traités	24/02/2020	février
56	0,64	0,64	Qualité de Service	268	166	116	86	66	66	66	Appels traités	25/02/2020	février
57	0,6	0,6	Qualité de Service	291	165	131	90	70	70	70	Appels traités	26/02/2020	février
58	0,94	0,94	Qualité de Service	258	164	106	91	61	61	61	Appels traités	27/02/2020	février
59	0,83	0,83	Qualité de Service	278	163	131	94	53	53	53	Appels traités	28/02/2020	février
60	0,69	0,69	Qualité de Service	249	162	99	96	54	54	54	Appels traités	29/02/2020	février
61	1	1	Qualité de Service	252	161	117	90	45	45	45	Appels traités	01/03/2020	mars
62	0,65	0,65	Qualité de Service	248	160	109	86	53	53	53	Appels traités	02/03/2020	mars
63	0,68	0,68	Qualité de Service	287	159	124	108	55	55	55	Appels traités	03/03/2020	mars
64	0,93	0,93	Qualité de Service	263	158	123	87	53	53	53	Appels traités	04/03/2020	mars
65	0,52	0,52	Qualité de Service	268	157	100	105	63	63	63	Appels traités	05/03/2020	mars
66	0,52	0,52	Qualité de Service	281	156	126	88	67	67	67	Appels traités	06/03/2020	mars
67	0,59	0,59	Qualité de Service	265	155	92	106	67	67	67	Appels traités	07/03/2020	mars
68	0,92	0,92	Qualité de Service	256	154	112	95	49	49	49	Appels traités	08/03/2020	mars
69	0,8	0,8	Qualité de Service	236	153	96	84	56	56	56	Appels traités	09/03/2020	mars
70	0,73	0,73	Qualité de Service	264	152	132	86	46	46	46	Appels traités	10/03/2020	mars
71	0,98	0,98	Qualité de Service	262	151	108	108	46	46	46	Appels traités	11/03/2020	mars
72	0,61	0,61	Qualité de Service	267	150	105	107	55	55	55	Appels traités	12/03/2020	mars
73	0,72	0,72	Qualité de Service	253	149	104	109	40	40	40	Appels traités	13/03/2020	mars
74	0,9	0,9	Qualité de Service	283	148	130	94	59	59	59	Appels traités	14/03/2020	mars
75	0,63	0,63	Qualité de Service	266	147	121	91	54	54	54	Appels traités	15/03/2020	mars
76	0,82	0,82	Qualité de Service	262	146	115	102	45	45	45	Appels traités	16/03/2020	mars
77	0,73	0,73	Qualité de Service	257	145	96	94	67	67	67	Appels traités	17/03/2020	mars
78	0,54	0,54	Qualité de Service	262	144	98	97	67	67	67	Appels traités	18/03/2020	mars
79	0,71	0,71	Qualité de Service	239	143	92	88	59	59	59	Appels traités	19/03/2020	mars
80	0,92	0,92	Qualité de Service	262	142	123	91	48	48	48	Appels traités	20/03/2020	mars
81	0,99	0,99	Qualité de Service	289	141	124	95	70	70	70	Appels traités	21/03/2020	mars
82	0,64	0,64	Qualité de Service	277	140	117	110	50	50	50	Appels traités	22/03/2020	mars
83	0,53	0,53	Qualité de Service	222	139	95	87	40	40	40	Appels traités	23/03/2020	mars
84	0,73	0,73	Qualité de Service	225	138	97	88	40	40	40	Appels traités	24/03/2020	mars
85	0,8	0,8	Qualité de Service	258	137	97	94	67	67	67	Appels traités	25/03/2020	mars
86	0,69	0,69	Qualité de Service	261	136	100	99	62	62	62	Appels traités	26/03/2020	mars
87	0,96	0,96	Qualité de Service	283	135	135	82	66	66	66	Appels traités	27/03/2020	mars
88	0,53	0,53	Qualité de Service	244	134	96	89	59	59	59	Appels traités	28/03/2020	mars
89	0,5	0,5	Qualité de Service	294	133	117	108	69	69	69	Appels traités	29/03/2020	mars
90	0,57	0,57	Qualité de Service	259	132	117	93	49	49	49	Appels traités	30/03/2020	mars
91	0,6	0,6	Qualité de Service	270	131	128	83	59	59	59	Appels traités	31/03/2020	mars
92	0,68	0,68	Qualité de Service	279	130	122	88	69	69	69	Appels traités	01/04/2020	avril
93	0,88	0,88	Qualité de Service	264	129	114	81	69	69	69	Appels traités	02/04/2020	avril
94	0,6	0,6	Qualité de Service	261	128	134	80	47	47	47	Appels traités	03/04/2020	avril
95	0,64	0,64	Qualité de Service	271	127	119	102	50	50	50	Appels traités	04/04/2020	avril
96	0,54	0,54	Qualité de Service	229	126	96	93	40	40	40	Appels traités	05/04/2020	avril
97	0,86	0,86	Qualité de Service	285	125	133	98	54	54	54	Appels traités	06/04/2020	avril
98	0,6	0,6	Qualité de Service	265	124	90	108	67	67	67	Appels traités	07/04/2020	avril
99	0,82	0,82	Qualité de Service	282	123	127	89	66	66	66	Appels traités	08/04/2020	avril
100	0,61	0,61	Qualité de Service	252	122	96	104	52	52	52	Appels traités	09/04/2020	avril
101	0,78	0,78	Qualité de Service	264	121	126	89	49	49	49	Appels traités	10/04/2020	avril
102	0,9	0,9	Qualité de Service	267	120	124	90	53	53	53	Appels traités	11/04/2020	avril
103	0,85	0,85	Qualité de Service	249	119	103	101	45	45	45	Appels traités	12/04/2020	avril
104	0,53	0,53	Qualité de Service	259	118	126	86	47	47	47	Appels traités	13/04/2020	avril
105	0,81	0,81	Qualité de Service	293	117	127	108	58	58	58	Appels traités	14/04/2020	avril
106	0,68	0,68	Qualité de Service	298	116	131	97	70	70	70	Appels traités	15/04/2020	avril
107	0,9	0,9	Qualité de Service	254	115	102	87	65	65	65	Appels traités	16/04/2020	avril
108	0,99	0,99	Qualité de Service	285	114	133	95	57	57	57	Appels traités	17/04/2020	avril
109	0,96	0,96	Qualité de Service	258	113	100	94	64	64	64	Appels traités	18/04/2020	avril
110	0,57	0,57	Qualité de Service	279	112	120	90	69	69	69	Appels traités	19/04/2020	avril
111	0,53	0,53	Qualité de Service	259	111	103	92	64	64	64	Appels traités	20/04/2020	avril
112	0,78	0,78	Qualité de Service	270	110	120	80	70	70	70	Appels traités	21/04/2020	avril
113	0,75	0,75	Qualité de Service	285	109	134	86	65	65	65	Appels traités	22/04/2020	avril
114	0,99	0,99	Qualité de Service	275	108	122	108	45	45	45	Appels traités	23/04/2020	avril
115	0,51	0,51	Qualité de Service	272	107	135	82	55	55	55	Appels traités	24/04/2020	avril
116	1	1	Qualité de Service	251	106	110	95	46	46	46	Appels traités	25/04/2020	avril
117	0,61	0,61	Qualité de Service	295	105	125	100	70	70	70	Appels traités	26/04/2020	avril
118	0,67	0,67	Qualité de Service	249	104	91	104	54	54	54	Appels traités	27/04/2020	avril
119	0,86	0,86	Qualité de Service	281	103	126	98	57	57	57	Appels traités	28/04/2020	avril
120	0,98	0,98	Qualité de Service	256	102	131	81	44	44	44	Appels traités	29/04/2020	avril
121	0,82	0,82	Qualité de Service	248	101	93	90	65	65	65	Appels traités	30/04/2020	avril
122	0,8	0,8	Qualité de Service	245	100	93	93	59	59	59	Appels traités	01/05/2020	mai
123	0,94	0,94	Qualité de Service	282	99	125	93	64	64	64	Appels traités	02/05/2020	mai
124	0,72	0,72	Qualité de Service	250	98	110	96	44	44	44	Appels traités	03/05/2020	mai
125	0,93	0,93	Qualité de Service	237	97	105	90	42	42	42	Appels traités	04/05/2020	mai
126	0,96	0,96	Qualité de Service	276	96	105	110	61	61	61	Appels traités	05/05/2020	mai
127	0,65	0,65	Qualité de Service	239	95	97	100	42	42	42	Appels traités	06/05/2020	mai
128	0,9	0,9	Qualité de Service	275	94	121	100	54	54	54	Appels traités	07/05/2020	mai
129	0,99	0,99	Qualité de Service	281	93	124	107	50	50	50	Appels traités	08/05/2020	mai
130	0,95	0,95	Qualité de Service	259	92	125	83	51	51	51	Appels traités	09/05/2020	mai
131	0,77	0,77	Qualité de Service	254	91	127	87	40	40	40	Appels traités	10/05/2020	mai
132	0,67	0,67	Qualité de Service	261	90	115	86	60	60	60	Appels traités	11/05/2020	mai
133	0,89	0,89	Qualité de Service	274	89	103	110	61	61	61	Appels traités	12/05/2020	mai
134	0,94	0,94	Qualité de Service	273	88	115	109	49	49	49	Appels traités	13/05/2020	mai
135	0,87	0,87	Qualité de Service	253	87	105	86	62	62	62	Appels traités	14/05/2020	mai
136	0,79	0,79	Qualité de Service	263	86	114	101	48	48	48	Appels traités	15/05/2020	mai
137	0,82	0,82	Qualité de Service	260	85	98	103	59	59	59	Appels traités	16/05/2020	mai
138	0,72	0,72	Qualité de Service	278	84	120	90	68	68	68	Appels traités	17/05/2020	mai
139	0,92	0,92	Qualité de Service	259	83	103	101	55	55	55	Appels traités	18/05/2020	mai
140	0,7	0,7	Qualité de Service	274	82	116	103	55	55	55	Appels traités	19/05/2020	mai
141	0,87	0,87	Qualité de Service	254	81	120	86	48	48	48	Appels traités	20/05/2020	mai
142	0,68	0,68	Qualité de Service	272	80	115	103	54	54	54	Appels traités	21/05/2020	mai
143	0,88	0,88	Qualité de Service	272	79	110	98	64	64	64	Appels traités	22/05/2020	mai
144	0,97	0,97	Qualité de Service	244	78	100	85	59	59	59	Appels traités	23/05/2020	mai
145	0,51	0,51	Qualité de Service	274	77	110	96	68	68	68	Appels traités	24/05/2020	mai
146	0,62	0,62	Qualité de Service	261	76	101	101	59	59	59	Appels traités	25/05/2020	mai
147	0,99	0,99	Qualité de Service	249	75	102	97	50	50	50	Appels traités	26/05/2020	mai
148	0,92	0,92	Qualité de Service	255	74	97	96	62	62	62	Appels traités	27/05/2020	mai
149	0,77	0,77	Qualité de Service	248	73	90	101	57	57	57	Appels traités	28/05/2020	mai
150	0,65	0,65	Qualité de Service	287	72	132	91	64	64	64	Appels traités	29/05/2020	mai
151	0,88	0,88	Qualité de Service	266	71	123	84	59	59	59	Appels traités	30/05/2020	mai
152	0,97	0,97	Qualité de Service	283	70	135	105	43	43	43	Appels traités	31/05/2020	mai
153	0,64	0,64	Qualité de Service	257	69	99	110	48	48	48	Appels traités	01/06/2020	juin
154	0,74	0,74	Qualité de Service	242	68	113	86	43	43	43	Appels traités	02/06/2020	juin
155	0,68	0,68	Qualité de Service	257	67	128	80	49	49	49	Appels traités	03/06/2020	juin
156	1	1	Qualité de Service	256	66	111	82	63	63	63	Appels traités	04/06/2020	juin
157	0,69	0,69	Qualité de Service	245	65	93	96	56	56	56	Appels traités	05/06/2020	juin
158	0,82	0,82	Qualité de Service	278	64	128	95	55	55	55	Appels traités	06/06/2020	juin
159	0,75	0,75	Qualité de Service	286	63	120	101	65	65	65	Appels traités	07/06/2020	juin
160	0,81	0,81	Qualité de Service	259	62	108	109	42	42	42	Appels traités	08/06/2020	juin
161	0,9	0,9	Qualité de Service	255	61	116	94	45	45	45	Appels traités	09/06/2020	juin
162	0,89	0,89	Qualité de Service	243	60	104	95	44	44	44	Appels traités	10/06/2020	juin
163	0,92	0,92	Qualité de Service	239	59	101	92	46	46	46	Appels traités	11/06/2020	juin
164	0,9	0,9	Qualité de Service	269	58	102	100	67	67	67	Appels traités	12/06/2020	juin
165	0,75	0,75	Qualité de Service	287	57	117	101	69	69	69	Appels traités	13/06/2020	juin
166	0,97	0,97	Qualité de Service	294	56	117	109	68	68	68	Appels traités	14/06/2020	juin
167	0,87	0,87	Qualité de Service	285	55	110	105	70	70	70	Appels traités	15/06/2020	juin
168	0,65	0,65	Qualité de Service	263	54	107	108	48	48	48	Appels traités	16/06/2020	juin
169	1	1	Qualité de Service	246	53	107	96	43	43	43	Appels traités	17/06/2020	juin
170	0,84	0,84	Qualité de Service	263	52	114	89	60	60	60	Appels traités	18/06/2020	juin
171	0,81	0,81	Qualité de Service	270	51	120	89	61	61	61	Appels traités	19/06/2020	juin
172	0,82	0,82	Qualité de Service	268	50	100	102	66	66	66	Appels traités	20/06/2020	juin
173	0,71	0,71	Qualité de Service	256	49	102	102	52	52	52	Appels traités	21/06/2020	juin
174	0,6	0,6	Qualité de Service	261	48	121	89	51	51	51	Appels traités	22/06/2020	juin
175	0,52	0,52	Qualité de Service	242	47	102	93	47	47	47	Appels traités	23/06/2020	juin
176	0,63	0,63	Qualité de Service	244	46	110	89	45	45	45	Appels traités	24/06/2020	juin
177	0,72	0,72	Qualité de Service	226	45	91	82	53	53	53	Appels traités	25/06/2020	juin
178	0,92	0,92	Qualité de Service	255	44	91	95	69	69	69	Appels traités	26/06/2020	juin
179	0,81	0,81	Qualité de Service	299	43	125	106	68	68	68	Appels traités	27/06/2020	juin
180	0,73	0,73	Qualité de Service	252	42	93	99	60	60	60	Appels traités	28/06/2020	juin
181	0,7	0,7	Qualité de Service	235	41	90	83	62	62	62	Appels traités	29/06/2020	juin
182	0,55	0,55	Qualité de Service	260	40	127	93	40	40	40	Appels traités	30/06/2020	juin
183	0,96	0,96	Qualité de Service	250	39	115	94	41	41	41	Appels traités	01/07/2020	juillet
184	0,54	0,54	Qualité de Service	275	38	110	103	62	62	62	Appels traités	02/07/2020	juillet
185	0,78	0,78	Qualité de Service	250	37	92	93	65	65	65	Appels traités	03/07/2020	juillet
186	0,51	0,51	Qualité de Service	292	36	134	99	59	59	59	Appels traités	04/07/2020	juillet
187	0,72	0,72	Qualité de Service	230	35	98	82	50	50	50	Appels traités	05/07/2020	juillet
188	0,89	0,89	Qualité de Service	257	34	112	99	46	46	46	Appels traités	06/07/2020	juillet
189	0,99	0,99	Qualité de Service	290	33	132	90	68	68	68	Appels traités	07/07/2020	juillet
190	0,7	0,7	Qualité de Service	276	32	125	101	50	50	50	Appels traités	08/07/2020	juillet
191	0,94	0,94	Qualité de Service	269	31	126	89	54	54	54	Appels traités	09/07/2020	juillet
192	0,95	0,95	Qualité de Service	290	30	126	107	57	57	57	Appels traités	10/07/2020	juillet
193	0,57	0,57	Qualité de Service	244	29	120	84	40	40	40	Appels traités	11/07/2020	juillet
194	0,63	0,63	Qualité de Service	228	28	92	85	51	51	51	Appels traités	12/07/2020	juillet
195	0,61	0,61	Qualité de Service	286	27	108	109	69	69	69	Appels traités	13/07/2020	juillet
196	0,59	0,59	Qualité de Service	274	26	110	107	57	57	57	Appels traités	14/07/2020	juillet
197	0,8	0,8	Qualité de Service	234	25	91	87	56	56	56	Appels traités	15/07/2020	juillet
198	0,83	0,83	Qualité de Service	282	24	121	109	52	52	52	Appels traités	16/07/2020	juillet
199	0,76	0,76	Qualité de Service	246	23	100	105	41	41	41	Appels traités	17/07/2020	juillet
200	0,62	0,62	Qualité de Service	256	22	129	81	46	46	46	Appels traités	18/07/2020	juillet
201	0,97	0,97	Qualité de Service	246	21	108	94	44	44	44	Appels traités	19/07/2020	juillet
202	0,77	0,77	Qualité de Service	288	20	123	98	67	67	67	Appels traités	20/07/2020	juillet
203	0,54	0,54	Qualité de Service	273	19	123	87	63	63	63	Appels traités	21/07/2020	juillet
204	0,72	0,72	Qualité de Service	235	18	96	89	50	50	50	Appels traités	22/07/2020	juillet
205	0,66	0,66	Qualité de Service	304	17	126	110	68	68	68	Appels traités	23/07/2020	juillet
206	0,5	0,5	Qualité de Service	258	16	101	98	59	59	59	Appels traités	24/07/2020	juillet
207	0,63	0,63	Qualité de Service	285	15	118	109	58	58	58	Appels traités	25/07/2020	juillet
208	0,53	0,53	Qualité de Service	260	14	126	93	41	41	41	Appels traités	26/07/2020	juillet
209	0,7	0,7	Qualité de Service	260	13	92	103	65	65	65	Appels traités	27/07/2020	juillet
210	0,53	0,53	Qualité de Service	233	12	92	85	56	56	56	Appels traités	28/07/2020	juillet
211	0,51	0,51	Qualité de Service	285	11	120	109	56	56	56	Appels traités	29/07/2020	juillet
212	0,82	0,82	Qualité de Service	257	10	95	110	52	52	52	Appels traités	30/07/2020	juillet
213	0,89	0,89	Qualité de Service	243	9	113	90	40	40	40	Appels traités	31/07/2020	juillet
214	0,8	0,8	Qualité de Service	287	8	116	110	61	61	61	Appels traités	01/08/2020	août
215	0,95	0,95	Qualité de Service	287	7	133	84	70	70	70	Appels traités	02/08/2020	août
216	0,59	0,59	Qualité de Service	265	6	113	95	57	57	57	Appels traités	03/08/2020	août
217	0,82	0,82	Qualité de Service	272	5	131	96	45	45	45	Appels traités	04/08/2020	août
218	0,95	0,95	Qualité de Service	237	4	100	80	57	57	57	Appels traités	05/08/2020	août
219	0,83	0,83	Qualité de Service	246	3	99	107	40	40	40	Appels traités	06/08/2020	août
220	0,87	0,87	Qualité de Service	269	2	103	106	60	60	60	Appels traités	07/08/2020	août
221	0,78	0,78	Qualité de Service	261	1	100	101	60	60	60	Appels traités	08/08/2020	août
222	0,85	0,85	Qualité de Service	254	0	93	99	62	62	62	Appels traités	09/08/2020	août
223	0,89	0,89	Qualité de Service	290	-1	133	97	60	60	60	Appels traités	10/08/2020	août
224	0,66	0,66	Qualité de Service	248	-2	94	86	68	68	68	Appels traités	11/08/2020	août
225	0,63	0,63	Qualité de Service	249	-3	105	97	47	47	47	Appels traités	12/08/2020	août
226	0,5	0,5	Qualité de Service	273	-4	110	98	65	65	65	Appels traités	13/08/2020	août
227	0,66	0,66	Qualité de Service	231	-5	91	93	47	47	47	Appels traités	14/08/2020	août
228	0,63	0,63	Qualité de Service	272	-6	100	108	64	64	64	Appels traités	15/08/2020	août
229	0,91	0,91	Qualité de Service	253	-7	103	90	60	60	60	Appels traités	16/08/2020	août
230	0,5	0,5	Qualité de Service	282	-8	132	105	45	45	45	Appels traités	17/08/2020	août
231	0,58	0,58	Qualité de Service	268	-9	111	100	57	57	57	Appels traités	18/08/2020	août
232	0,63	0,63	Qualité de Service	273	-10	102	101	70	70	70	Appels traités	19/08/2020	août
233	0,63	0,63	Qualité de Service	250	-11	111	82	57	57	57	Appels traités	20/08/2020	août
234	0,54	0,54	Qualité de Service	262	-12	119	101	42	42	42	Appels traités	21/08/2020	août
235	0,64	0,64	Qualité de Service	261	-13	107	103	51	51	51	Appels traités	22/08/2020	août
236	0,65	0,65	Qualité de Service	265	-14	106	100	59	59	59	Appels traités	23/08/2020	août
237	0,59	0,59	Qualité de Service	259	-15	96	107	56	56	56	Appels traités	24/08/2020	août
238	0,77	0,77	Qualité de Service	259	-16	111	108	40	40	40	Appels traités	25/08/2020	août
239	0,78	0,78	Qualité de Service	257	-17	105	85	67	67	67	Appels traités	26/08/2020	août
240	0,86	0,86	Qualité de Service	267	-18	116	96	55	55	55	Appels traités	27/08/2020	août
241	0,56	0,56	Qualité de Service	253	-19	91	110	52	52	52	Appels traités	28/08/2020	août
242	0,77	0,77	Qualité de Service	282	-20	128	95	59	59	59	Appels traités	29/08/2020	août
243	0,96	0,96	Qualité de Service	257	-21	94	101	62	62	62	Appels traités	30/08/2020	août
244	0,67	0,67	Qualité de Service	278	-22	111	110	57	57	57	Appels traités	31/08/2020	août
245	0,56	0,56	Qualité de Service	279	-23	132	84	63	63	63	Appels traités	01/09/2020	septembre
246	0,77	0,77	Qualité de Service	275	-24	133	86	56	56	56	Appels traités	02/09/2020	septembre
247	0,83	0,83	Qualité de Service	278	-25	125	99	54	54	54	Appels traités	03/09/2020	septembre
248	0,61	0,61	Qualité de Service	284	-26	113	101	70	70	70	Appels traités	04/09/2020	septembre
249	0,86	0,86	Qualité de Service	269	-27	116	106	47	47	47	Appels traités	05/09/2020	septembre
250	0,87	0,87	Qualité de Service	272	-28	126	97	49	49	49	Appels traités	06/09/2020	septembre
251	0,53	0,53	Qualité de Service	279	-29	106	103	70	70	70	Appels traités	07/09/2020	septembre
252	0,58	0,58	Qualité de Service	259	-30	97	105	57	57	57	Appels traités	08/09/2020	septembre
